code_grade_NEG;libelle_grade_neg;code_nomenclature_net_neh;libelle_NET_NEH;libelle_NEG_rempl;libelle_NET_NEH_rempl;code_NETH_rempl;caracteristique
0785;DIRECTEUR DE POLICE MUNICIPALE;TPU1;Directeur de police municipale;DIRECTEUR DE POLICE MUNICIPALE;Directeur de police municipale;TPU1;DÉCRETS 2006-1392 ET 2006-1393 DU 17/11/2006 ILS ASSURENT LA DIRECTION FONCTIONNELLE ET OPÉRATIONNELLE DES SERVICES DE POLICE MUNICIPALE ILS ASSURENT L'ENCADREMENT DES FONCTIONNAIRES DES CADRES D'EMPLOIS DES CHEFS DE SERVICE DE POLICE MUNICIPALE ET DES AGENTS DE POLICE MUNICIPALE DONT ILS COORDONNENT LES ACTIVITÉS MODIFIÉ PAR DÉCRETS N°2017-356 ET 357 DU 30/03/17: REVALO AU 01/01/2017 (AVEC CONDITIONS DE RECLASSEMENT) AU 01/01/18 ET AU 01/01/19..LES DATES D'EFFET DES REVALORISATIONS SUCCESSIVES AU TITRE DU PPCR ONT ÉTÉ REPORTÉES PAR LES DÉCRETS N°2017-1736 ET 1737 DU 21/12/17 À COMPTER DU  01/01/18, AU 01/01/2019, ET AU 01/01/2020.
0788;GARDIEN DE POLICE MUNICIPALE;TPG1;Gardien-brigadier;GARDIEN-BRIGADIER DE POLICE MUNICIPALE (ECH C2);Gardien-brigadier;TPG1;DÉCRET N°2006-1391 DU 17/11/2006
0789;BRIGADIER DE POLICE MUNICIPALE;TPG2;;GARDIEN-BRIGADIER DE POLICE MUNICIPALE (ECH C2);Gardien-brigadier;TPG1;DÉCRET N°2006-1391 DU 17/11/06 ILS EXÉCUTENT DES MISSIONS DE POLICE ADMINISTRATIVE ET JUDICIAIRE EN MATIÈRE DE PRÉVENTION ET DE SURVEILLANCE DU BON ORDRE, DE LA TRANQUILITÉ, DE LA SÉCURITÉ ET DE LA SALUBRITÉ PUBLIQUE
0791;ADJOINT ADMINISTRATIF DE DEUXIEME CLASSE (ECH 3);TAJ1;Adjoint administratif;ADJOINT ADMINISTRATIF (ECH C1);Adjoint administratif;TAJ1;DT N°2006-1690 DU 22/12/06, LE 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS SONT CHARGÉS DE TÂCHES ADMINISTRATIVES D'EXÉCUTION QUI SUPPOSENT LA CONNAISSANCE DE L'APPLICATION DES RÈGLES ADMINISTRATIVES ET COMPTABLES :TRAVAUX DE BUREAUTIQUE, ENQUÊTES ADMINISTRATIVES, CALCUL ET PERCEPTION DE REDEVANCES
0792;ADJOINT ADMINISTRATIF DE PREMIERE CLASSE (ECH 4);TAJ2;;ADJOINT ADMINISTRATIF PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint administratif principal de 2ème classe;TAJ3;DT N°2006-1690 DU 22/12/06,AVEC UNE DATE D'EFFET DU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS SONT CHARGÉS DE TÂCHES ADMINISTRATIVES D'EXÉCUTION QUI SUPPOSENT LA CONNAISSANCE DE L'APPLICATION DES RÈGLES ADMINISTRATIVES ET COMPTABLES :TRAVAUX DE BUREAUTIQUE, ENQUÊTES ADMINISTRATIVES, CALCUL ET PERCEPTION DE REDEVANCES
0793;ADJOINT TECHNIQUE DE DEUXIEME CLASSE (ECH 3);TTH1;Adjoint technique;ADJOINT TECHNIQUE (ECH C1);Adjoint technique;TTH1;"DT N°2006-1691 DU 22/12/06 AVEC EFFET AU 01/11/06 CONF À LA LOI 148 DU 02/02/07 ILS ST CHARGÉS DE TÂCHES TECHNIQUES D'EXÉCUTION DANS LES : BÂTIMENTS, TRAVAUX PUBLICS, VOIRIE, ESPACES VERTS, MÉCANIQUE ET ELECTROMÉCANIQUE, RESTAURATION, LOGISTIQUE, SÉCURITÉ, SPECTACLES ET ARTISANAT D'ART,DS LES LABORATOIRE D'ANALYSES MÉDICALES, CHIMIQUE OU BACTÉRIOLOGIQUES; EMPLOIS OCCUPÉS : ÉGOUTIER, ÉBOUEUR, FOSSOYEUR OU PORTEUR, AGENT DE DÉSINFECTION; ET PEUVENT ASSURER : LA CONDUITE DE VÉHICULES ET D'ENGINS, LE GARDIENNAGE, LA SURVEILLANCE OU L'ENTRETIEN D'IMMEUBLES, L'ACCUEIL, L'INFORMATION ET LA MÉDIATION CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0794;ADJOINT TECHNIQUE DE PREMIERE CLASSE (ECH 4);TTH2;;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;"DT N°2006-1691 DU 22/12/06 AVEC EFFET AU 01/11/06 CONF À LA LOI 148 DU 02/02/07:(VOIR LE GRADE 0793 POUR LES CARACTÉRISTIQUES) LES FONCT QUI OCCUPAIENT LES GRADES D'AGENT TECHNIQUE [0027] ET GARDIEN D'IMMEUBLE [0625] ET QUI ONT ÉTÉ INTÉGRÉS LE 01/11/06 DS LE GRADE D'ADJOINT TECHN DE 2ÈME CL [0793]SONT RECLASSÉS DS LE GR D'ADJOINT TECHN DE 1ÈRE CL [0794] EN 3 TRANCHES ANNUELLES, DU 01/01/07 AU 31/12/09, APRÈS AVIS CAP, AU MÊME ECH ET CONSERV DE L'ANC (CF ART 20 DU DT N°2006-1691 DU 22/12/06) CATÉGORIE ACTIVE : SPÉCIALITÉS LISTÉES PAR ARRÊTÉ DU 12/12/69 : BÛCHERON ÉLAGUEUR; INCINÉRATEUR DE GADOUE; CARRIER; CHARPENTIER; CHAUFFEUR DE CHAUDIÈRE À CHARBON; COUVREUR; FORGERON; FUMISTE ; GLUTINEUR ET FILTREUR DE DISTRIBUTION DES EAUX; MAÇON; PAVEUR; PUISATIER; SCAPHANDRIER; BUANDIER; SOUDEUR ÉLECTRIQUE ET AUTOGÈNE; PEINTRE AU PISTOLET ET VERNISSEUR; PONTONNIER GRUTIER ET AGENT D'ENTRETIEN DES PONTS ROULANTS DES USINES D'INCINÉRATION DES ORDURES MÉNAGÈRES"
0795;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);TTH3;Adjoint technique principal de 2ème classe;ADJOINT TECHNIQUE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint technique principal de 2ème classe;TTH3;DT N°2006-1691 DU 22/12/06 AVEC EFFET AU 01/11/06 CONF À LA LOI 148 DU 02/02/07 (VOIR LE GRADE 0793 POUR LES CARACTÉRISTIQUES) ILS PEUVENT ÊTRE CHARGÉ DE TRAVAUX D'ORGANISATION,DE COORDINATION ET D'ENCADREMENT PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16,
0796;ADJOINT TECHNIQUE PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);TTH4;Adjoint technique principal de 1ère classe;ADJOINT TECHNIQUE PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);Adjoint technique principal de 1ère classe;TTH4;DT N°2006-1691 DU 22/12/06 AVEC EFFET AU 01/11/06 CONF À LA LOI 148 DU 02/02/07( VOIR LE GRADE 0793 POUR LES CARACTÉRISTIQUES) ILS PEUVENT ÊTRE CHARGÉ DE TRAVAUX D'ORGANISATION,DE COORDINATION ET D'ENCADREMENT GRADE RÉFÉRENCÉ À L'[E06110] AVEC UN IND TERMINAL SPÉCIAL (IND BRUT 499) CONFORMEMENT AU DECRET N°2008-1449 DU 22 DÉCEMBRE 2008, REVALORISATION DE L'ECHELLE 6 DECRET 2013-587 DU 4/07/2013 PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16,
0797;ADJOINT D'ANIMATION DE DEUXIEME CLASSE;TNJ1;Adjoint territorial d'animation;ADJOINT D'ANIMATION (ECH C1);Adjoint territorial d'animation;TNJ1;DT N°2006-1693 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI N°148 DU 02/02/07 ILS INTERVIENNENT DS LE SECTEUR : PÉRISCOLAIRE, ANIMATION DES QUARTIERS, MÉDIATION SOCIALE, DÉVELOPPEMENT RURAL ET POLITIQUE DU DÉVELOPPEMENT SOCIAL URBAIN ET ORGANISATION D'ACTIVITÉ DE LOISIR,ET AU SEIN DE STRUCTURES D'ACCUEIL ET D'HÉBERGEMENT
0798;ADJOINT D'ANIMATION DE PREMIERE CLASSE (ECH 4);TNJ2;;ADJOINT D'ANIMATION PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint territorial d'animation principal de 2ème classe;TNJ3;DT N°2006-1693 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI N°148 DU 02/02/07 ILS INTERVIENNENT DS LE SECTEUR : PÉRISCOLAIRE, ANIMATION DES QUARTIERS, MÉDIATION SOCIALE, DÉVELOPPEMENT RURAL ET POLITIQUE DU DÉVELOPPEMENT SOCIAL URBAIN ET ORGANISATION D'ACTIVITÉ DE LOISIR,ET AU SEIN DE STRUCTURES D'ACCUEIL ET D'HÉBERGEMENT
0799;ADJOINT D'ANIMATION PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);TNJ3;Adjoint territorial d'animation principal de 2ème classe;ADJOINT D'ANIMATION PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint territorial d'animation principal de 2ème classe;TNJ3;DT N°2006-1693 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI N°148 DU 02/02/07 ILS INTERVIENNENT DS LE SECTEUR : PÉRISCOLAIRE, ANIMATION DES QUARTIERS, MÉDIATION SOCIALE, DÉVELOPPEMENT RURAL ET POLITIQUE DU DÉVELOPPEMENT SOCIAL URBAIN ET ORGANISATION D'ACTIVITÉ DE LOISIR,ET AU SEIN DE STRUCTURES D'ACCUEIL ET D'HÉBERGEMENT PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16,
0801;ADJOINT DU PATRIMOINE DE DEUXIEME CLASSE (ECH 3);TCJ1;Adjoint territorial du patrimoine;ADJOINT DU PATRIMOINE (ECH C1);Adjoint territorial du patrimoine;TCJ1;DT N°2006-1692 DU 22/12/06 AVEC EFFET AU 01/11/06 CF L'ART 57 DE LA LOI DU 02/02/07 ILS PEUVENT EXERCER DES EMPLOIS : DE MAGASINIER DE BIBLIOTHÈQUE ET D'ARCHIVES, DE SURVEILLANT DE MUSÉES,DE MONUMENTS HISTORIQUES, DES ÉTABLISSEMENTS D'ENSEIGNEMENT CULTUREL, DE PARCS ET DE JARDINS
0802;ADJOINT DU PATRIMOINE DE PREMIERE CLASSE (ECH 4);TCJ2;;ADJOINT DU PATRIMOINE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint territorial du patrimoine principal de 2ème classe;TCJ3;DT N°2006-1692 DU 22/12/06 AVEC EFFET AU 01/11/06 CF L'ART 57 DE LA LOI DU 02/02/07 ILS PEUVENT EXERCER DES EMPLOIS : DE MAGASINIER DE BIBLIOTHÈQUE ET D'ARCHIVES, DE SURVEILLANT DE MUSÉES,DE MONUMENTS HISTORIQUES, DES ÉTABLISSEMENTS D'ENSEIGNEMENT CULTUREL, DE PARCS ET DE JARDINS
0803;ADJOINT DU PATRIMOINE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);TCJ3;Adjoint territorial du patrimoine principal de 2ème classe;ADJOINT DU PATRIMOINE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Adjoint territorial du patrimoine principal de 2ème classe;TCJ3;DT N°2006-1692 DU 22/12/06 AVEC EFFET AU 01/11/06 CF L'ART 57 DE LA LOI DU 02/02/07 ILS PEUVENT EXERCER DES EMPLOIS : DE MAGASINIER DE BIBLIOTHÈQUE ET D'ARCHIVES, DE SURVEILLANT DE MUSÉES,DE MONUMENTS HISTORIQUES, DES ÉTABLISSEMENTS D'ENSEIGNEMENT CULTUREL, DE PARCS ET DE JARDINS PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16, CE GRADE (E05) EST RÉFÉRENCÉ À (EC2)
0805;ADJOINT D'ANIMATION PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);TNJ4;Adjoint territorial d'animation principal de 1ère classe;ADJOINT D'ANIMATION PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);Adjoint territorial d'animation principal de 1ère classe;TNJ4;DT N°2006-1693 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI N°148 DU 02/02/07 ILS INTERVIENNENT DS LE SECTEUR : PÉRISCOLAIRE, ANIMATION DES QUARTIERS, MÉDIATION SOCIALE, DÉVELOPPEMENT RURAL ET POLITIQUE DU DÉVELOPPEMENT SOCIAL URBAIN ET ORGANISATION D'ACTIVITÉ DE LOISIR,ET AU SEIN DE STRUCTURES D'ACCUEIL ET D'HÉBERGEMENT DECRET 2013-587 DU 4/07/2013.MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16,
0806;ADJOINT DU PATRIMOINE PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);TCJ4;Adjoint territorial du patrimoine principal de 1ère classe;ADJOINT DU PATRIMOINE PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);Adjoint territorial du patrimoine principal de 1ère classe;TCJ4;DT N°2006-1692 DU 22/12/06 AVEC EFFET AU 01/11/06 CF L'ART 57 DE LA LOI DU 02/02/07 ILS PEUVENT EXERCER DES EMPLOIS : DE MAGASINIER DE BIBLIOTHÈQUE ET D'ARCHIVES, DE SURVEILLANT DE MUSÉES,DE MONUMENTS HISTORIQUES, DES ÉTABLISSEMENTS D'ENSEIGNEMENT CULTUREL, DE PARCS ET DE JARDINS DECRET 2013-587 DU 4/07/2013 PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16,
0807;AGENT SOCIAL DE DEUXIEME CLASSE (ECH 3);TMP1;Agent social;AGENT SOCIAL (ECH C1);Agent social;TMP1;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS EFFECTUENT DES MISSIONS D'ACCUEIL ET DE RENSEIGNEMENTS DU PUBLIC ET ACCOMPAGNENT LES DEMANDEURS DANS LES DIFFÉRENTS DÉMARCHES À CARACTÈRE SOCIAL
0808;AGENT SOCIAL DE PREMIERE CLASSE (ECH 4);TMP2;;AGENT SOCIAL PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Agent social principal de 2ème classe;TMP3;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS EFFECTUENT DES MISSIONS D'ACCUEIL ET DE RENSEIGNEMENTS DU PUBLIC ET ACCOMPAGNENT LES DEMANDEURS DANS LES DIFFÉRENTS DÉMARCHES À CARACTÈRE SOCIAL
0809;AGENT SOCIAL PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);TMP3;Agent social principal de 2ème classe;AGENT SOCIAL PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Agent social principal de 2ème classe;TMP3;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS EFFECTUENT DES MISSIONS D'ACCUEIL ET DE RENSEIGNEMENTS DU PUBLIC ET ACCOMPAGNENT LES DEMANDEURS DANS LES DIFFÉRENTS DÉMARCHES À CARACTÈRE SOCIAL MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16 RECLASSEMENT DE L'[E05] DANS LA NOUVELLE ÉCHELLE [EC2]
0810;AGENT SOCIAL PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);TMP4;Agent social principal de 1ère classe;AGENT SOCIAL PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);Agent social principal de 1ère classe;TMP4;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS EFFECTUENT DES MISSIONS D'ACCUEIL ET DE RENSEIGNEMENTS DU PUBLIC ET ACCOMPAGNENT LES DEMANDEURS DANS LES DIFFÉRENTS DÉMARCHES À CARACTÈRE SOCIAL DECRET 2013-587 DU 4/07/2013 MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016-596 DU 12/05/16
0811;AGENT SPECIALISE PRINCIPAL DE DEUXIEME CLASSE DES ECOLES MATERNELLES (ECH 5/ ECH C2);TMD2;Agent spécialisé principal de 2ème classe des écoles maternelles;AGENT SPECIALISE PRINCIPAL DE DEUXIEME CLASSE DES ECOLES MATERNELLES (ECH 5/ ECH C2);Agent spécialisé principal de 2ème classe des écoles maternelles;TMD2;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS PEUVENT ÊTRE CHARGÉS DE LA SURVEILLANCE DE TRÉS JEUNES ENFANTS DS LES CANTINES ET DS LES ACCUEILS DE LOISIRS ET ASSISTER LES ENSEIGNANTS DS LES ÉTABTS D'ENFANTS HANDICAPÉS MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16
0812;AGENT SPECIALISE PRINCIPAL DE PREMIERE CLASSE DES ECOLES MATERNELLES (ECH 6/ECH C3);TMD3;Agent spécialisé principal de 1ère classe des écoles maternelles;AGENT SPECIALISE PRINCIPAL DE PREMIERE CLASSE DES ECOLES MATERNELLES (ECH 6/ECH C3);Agent spécialisé principal de 1ère classe des écoles maternelles;TMD3;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 ILS PEUVENT ÊTRE CHARGÉS DE LA SURVEILLANCE DE TRÉS JEUNES ENFANTS DS LES CANTINES ET DS LES ACCUEILS DE LOISIRS ET ASSISTER LES ENSEIGNANTS DS LES ÉTABTS D'ENFANTS HANDICAPÉS DECRET 2013-587 DU 4/07/2013.MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16
0813;AUXILIAIRE DE PUERICULTURE DE PREMIERE CLASSE (ECH 4);TOJ1;;AUXILIAIRE DE PUERICULTURE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Auxiliaire de puériculture principal de 2ème classe;TOJ2;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07
0814;AUXILIAIRE DE PUERICULTURE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);TOJ2;Auxiliaire de puériculture principal de 2ème classe;AUXILIAIRE DE PUERICULTURE PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Auxiliaire de puériculture principal de 2ème classe;TOJ2;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 .MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16
0815;AUXILIAIRE DE PUERICULTURE PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);TOJ3;Auxiliaire de puériculture principal de 1ère classe;AUXILIAIRE DE PUERICULTURE PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);Auxiliaire de puériculture principal de 1ère classe;TOJ3;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 DECRET 2013-587 DU 4/07/2013.MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16
0816;AUXILIAIRE DE SOINS DE PREMIERE CLASSE (ECH 4);TOK1;;AUXILIAIRE DE SOINS PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Auxiliaire de soins principal de 2ème classe;TOK2;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07
0817;AUXILIAIRE DE SOINS PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);TOK2;Auxiliaire de soins principal de 2ème classe;AUXILIAIRE DE SOINS PRINCIPAL DE DEUXIEME CLASSE (ECH 5/ECH C2);Auxiliaire de soins principal de 2ème classe;TOK2;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07..MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16
0818;AUXILIAIRE DE SOINS PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);TOK3;Auxiliaire de soins principal de 1ère classe;AUXILIAIRE DE SOINS PRINCIPAL DE PREMIERE CLASSE (ECH 6/ECH C3);Auxiliaire de soins principal de 1ère classe;TOK3;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 DECRET 2013-587 DU 4/07/2013.MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16
0819;GARDE-CHAMPETRE CHEF PRINCIPAL (ECH 6/ECH C3);TPH3;Garde-champêtre chef principal;GARDE-CHAMPETRE CHEF PRINCIPAL (ECH 6/ECH C3);Garde-champêtre chef principal;TPH3;DT N°2006-1694 DU 22/12/06 AVEC EFFET AU 01/11/06 CF À L'ART 57 DE LA LOI 148 DU 02/02/07 DECRET 2013-587 DU 4/07/2013.MODIFIÉ PAR DÉCRET N°2016-1372 DU 12/10/16 ET DÉCRET N°2016- 596 DU 12/05/16
0820;ADJOINT ADMINISTRATIF (ECH 5/ECH C2);;;ADJOINT ADMINISTRATIF (ECH 5/ECH C2);;;DÉCRET N° 2006-1690 DU 22/12/06 AVEC EFFET AU 01/11/06 CF L'ART 57 DE LA LOI N°148 DU 02/02/07 CE GRADE EST CLASSÉ EN VOIE D'EXTINCTION PEUVENT ETRE NOMMÉS DS CE GRADE LES AGENTS EXERÇANT LES FONCTIONS DE RECEVEUR PRINCIPAL ET DE CHEF DE STANDARD TELEPHONIQUE VOIR LE 0013 POUR LES DIFFERENTES FONCTION ET ATTRIBUTION DES POINTS NBI..REVALORISÉ À L'ÉCHELLE C2 AVEC CONDITIONS DE RECLASSEMENT, CONFORMÉMENT AU DÉCRET N° 2016-596 DU 12 MAI 2016 RELATIF À L'ORGANISATION DES CARRIÈRES DES FONCTIONNAIRES DE CATÉGORIE C DE LA FONCTION PUBLIQUE TERRITORIALE
0821;ADJOINT ADMINISTRATIF (ECH 6/ECH C3);;;ADJOINT ADMINISTRATIF (ECH 6/ECH C3);;;DT N° 2006-1690 DU 22/12/06 AVEC EFFET AU 01/11/06 CF L'ART 57 DE LA LOI N°148 DU 02/02/07 CE GRADE EN EXTINCTION EST UN GRADE D'AVANCEMENT DES AGENTS ADMINISTRATIFS (GRADE [0015] EN EXTINCTION RÉFÉRENCÉ À L'E05) VOIR LE 0013 POUR LES DIFFERENTES FONCTIONS ET ATTRIBUTION DES POINTS NBI DECRET 2013-587 DU 4/07/2013..REVALORISÉ À L'ÉCHELLE C3 AVEC CONDITIONS DE RECLASSEMENT, CONFORMÉMENT AU DÉCRET N° 2016-596 DU 12 MAI 2016 RELATIF À L'ORGANISATION DES CARRIÈRES DES FONCTIONNAIRES DE CATÉGORIE C DE LA FONCTION PUBLIQUE TERRITORIALE
0823;INFIRMIER D'ENCADREMENT DE SAPEURS-POMPIERS PROFESSIONNELS;TRA1;;CADRE DE SANTE DE DEUXIEME CLASSE DE SAPEURS-POMPIERS PROFESSIONNELS;Cadre de santé de sapeurs-pompiers professionnels de 2ème classe;TRF1;DÉCRETS N°2006-1719 DU 23/12/06 ET 2007-360 DU 19/03/07 ILS ASSURENT : DES FONCTIONS D'ENCADREMENT DES INFIRMIERS SPP ET SP VOLONTAIRES, DES MISSIONS D'ASSISTANCE AU MÉDECIN-CHEF, AU PHARMACIEN-CHEF ET AUX MÉDECINS DES GROUPEMENTS ET DES FONCTIONS DE FORMATION DES INFIRMIERS ET DES SPP ET SP VOLONTAIRES, SOUS L'AUTORITÉ DU MÉDECIN-CHEF, AUPRÈS DE L'ETAT, DES ÉTABTS PUBLICS OU D'ORGANISMES D'INTÉRÊT GÉNÉRAL
0824;CADRE SUPERIEUR SOCIO-EDUCATIF;2603;Cadre supérieur socio-éducatif;CADRE SUPERIEUR SOCIO-EDUCATIF;Cadre supérieur socio-éducatif;2603;CRÉÉ PAR LE DÉCRET 2007-839 DU 11 MAI 2007 PORTANT STATUT PARTICULIER DU CORPS DES CADRES SOCIO-ÉDUCATIFS DE LA FPH ILS ENCADRENT LES PERSONNELS OU DIRIGENT UNE OU PLUSIEURS UNITÉS DE L'ÉTABLISSMENT SOUS L'AUTORITÉ DU DIRECTEUR D'ÉTABLISSEMENT, ILS SONT RESPONSABLES DE L'ORGANISATION ET DU FONCTIONNEMENT DU SERVICE SOCIAL ET DU SERVICE ÉDUCATIF DE L'ÉTABLISSEMENT RAJOUT D'UN 7ÈME ÉCH PAR DÉCRETS N°313 ET 315 DU 19/03/15 AU 22/03/15. DÉCRETS N°2016-634 ET 642  ET ARRÊTÉ DU 19 MAI 2016 : MODIFICATION DE LA DURÉE DE L'ÉCHELON (FIXE) AU 22/05/2016 REVALORISATIONS INDICIAIRES DU 1/01/2016, DU 1/01/2017( AVEC RECLASSEMENT) ,ET DU 01/01/2018..CONFORMÉMENT AUX DÉCRETS 2017 -1736 ET 1737 DU 21/12/17 ET A L'ARRÊTÉ DU 28/12/17 LA DATE D'EFFET DE LA REVALO DU 01/01/18 EST REPORTÉE AU 01/01/19
